#,id,roleURI,usedOn,definition,Defined Schema Systemid,comment
1,dart_2024-06-30_role-D210000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-D210000,link:calculationLink link:definitionLink link:presentationLink ,"[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements",dart_all_2024-06-30.xsd,
504,ifrs_7_role-D822470,http://dart.fss.or.kr/role/ifrs/ifrs_7_role-D822470,link:presentationLink link:definitionLink ,[D822470] 주석 - 사용이 제한된 금융자산 - 연결 | Notes - Restricted financial assets - Consolidated financial statements,dart_all_2024-06-30.xsd,
505,ifrs_7_role-D822475,http://dart.fss.or.kr/role/ifrs/ifrs_7_role-D822475,link:presentationLink link:definitionLink ,[D822475] 주석 - 사용이 제한된 금융자산 - 별도 | Notes - Restricted financial assets - Separate financial statements,dart_all_2024-06-30.xsd,
506,dart_role-D822300,http://dart.fss.or.kr/role/ifrs/dart_role-D822300,link:presentationLink link:definitionLink ,[D822300] 주석 - 기타자산 - 연결 | Notes - Other assets - Consolidated financial statements,dart_all_2024-06-30.xsd,
507,dart_role-D822305,http://dart.fss.or.kr/role/ifrs/dart_role-D822305,link:presentationLink link:definitionLink ,[D822305] 주석 - 기타자산 - 별도 | Notes - Other assets - Separate financial statements,dart_all_2024-06-30.xsd,
508,dart_role-D822310,http://dart.fss.or.kr/role/ifrs/dart_role-D822310,link:presentationLink link:definitionLink ,[D822310] 주석 - 기타부채 - 연결 | Notes - Other liabilities - Consolidated financial statements,dart_all_2024-06-30.xsd,
509,dart_role-D822315,http://dart.fss.or.kr/role/ifrs/dart_role-D822315,link:presentationLink link:definitionLink ,[D822315] 주석 - 기타부채 - 별도 | Notes - Other liabilities - Separate financial statements,dart_all_2024-06-30.xsd,
510,ifrs_7_role-D822490,http://dart.fss.or.kr/role/ifrs/ifrs_7_role-D822490,link:presentationLink link:definitionLink ,[D822490] 주석 - 기타채무 - 연결 | Notes - Non-trade Payables - Consolidated financial statements,dart_all_2024-06-30.xsd,
511,ifrs_7_role-D822495,http://dart.fss.or.kr/role/ifrs/ifrs_7_role-D822495,link:presentationLink link:definitionLink ,[D822495] 주석 - 기타채무 - 별도 | Notes - Non-trade payables - Separate financial statements,dart_all_2024-06-30.xsd,
512,ifrs_7_role-D822480,http://dart.fss.or.kr/role/ifrs/ifrs_7_role-D822480,link:presentationLink link:definitionLink ,[D822480] 주석 - 기타채권 - 연결 | Notes - Non-trade receivables - Consolidated financial statements,dart_all_2024-06-30.xsd,
513,ifrs_7_role-D822485,http://dart.fss.or.kr/role/ifrs/ifrs_7_role-D822485,link:presentationLink link:definitionLink ,[D822485] 주석 - 기타채권 - 별도 | Notes - Non-trade Receivables - Separate financial statements,dart_all_2024-06-30.xsd,
514,ifrs_2_role-D834120d,http://dart.fss.or.kr/role/ifrs/ifrs_2_role-D834120d,link:definitionLink ,[D834120d] 주석 - 주식기준보상 - 연결 | Notes - Share-based payment arrangements - Consolidated financial statements,dart_all_2024-06-30.xsd,
515,ifrs_2_role-D834125d,http://dart.fss.or.kr/role/ifrs/ifrs_2_role-D834125d,link:definitionLink ,[D834125d] 주석 - 주식기준보상 - 별도 | Notes - Share-based payment arrangements - Separate financial statements,dart_all_2024-06-30.xsd,
516,ifrs_2_role-D834120e,http://dart.fss.or.kr/role/ifrs/ifrs_2_role-D834120e,link:definitionLink ,[D834120e] 주석 - 주식기준보상 - 연결 | Notes - Share-based payment arrangements - Consolidated financial statements,dart_all_2024-06-30.xsd,
517,ifrs_2_role-D834125e,http://dart.fss.or.kr/role/ifrs/ifrs_2_role-D834125e,link:definitionLink ,[D834125e] 주석 - 주식기준보상 - 별도 | Notes - Share-based payment arrangements - Separate financial statements,dart_all_2024-06-30.xsd,
518,ifrs_2_role-D834120f,http://dart.fss.or.kr/role/ifrs/ifrs_2_role-D834120f,link:definitionLink ,[D834120f] 주석 - 주식기준보상 - 연결 | Notes - Share-based payment arrangements - Consolidated financial statements,dart_all_2024-06-30.xsd,
519,ifrs_2_role-D834120g,http://dart.fss.or.kr/role/ifrs/ifrs_2_role-D834120g,link:definitionLink ,[D834120g] 주석 - 주식기준보상 - 연결 | Notes - Share-based payment arrangements - Consolidated financial statements,dart_all_2024-06-30.xsd,
520,ifrs_2_role-D834125f,http://dart.fss.or.kr/role/ifrs/ifrs_2_role-D834125f,link:definitionLink ,[D834125f] 주석 - 주식기준보상 - 별도 | Notes - Share-based payment arrangements - Separate financial statements,dart_all_2024-06-30.xsd,
521,ifrs_2_role-D834125g,http://dart.fss.or.kr/role/ifrs/ifrs_2_role-D834125g,link:definitionLink ,[D834125g] 주석 - 주식기준보상 - 별도 | Notes - Share-based payment arrangements - Separate financial statements,dart_all_2024-06-30.xsd,
522,ias_12_role-D835110d,http://dart.fss.or.kr/role/ifrs/ias_12_role-D835110d,link:definitionLink ,[D835110d] 주석 - 법인세 - 연결 | Notes - Income taxes - Consolidated financial statements,dart_all_2024-06-30.xsd,
523,ias_12_role-D835110e,http://dart.fss.or.kr/role/ifrs/ias_12_role-D835110e,link:definitionLink ,[D835110e] 주석 - 법인세 - 연결 | Notes - Income taxes - Consolidated financial statements,dart_all_2024-06-30.xsd,
524,ias_12_role-D835110f,http://dart.fss.or.kr/role/ifrs/ias_12_role-D835110f,link:definitionLink ,[D835110f] 주석 - 법인세 - 연결 | Notes - Income taxes - Consolidated financial statements,dart_all_2024-06-30.xsd,
525,ias_12_role-D835110g,http://dart.fss.or.kr/role/ifrs/ias_12_role-D835110g,link:definitionLink ,[D835110g] 주석 - 법인세 - 연결 | Notes - Income taxes - Consolidated financial statements,dart_all_2024-06-30.xsd,
526,ias_12_role-D835110h,http://dart.fss.or.kr/role/ifrs/ias_12_role-D835110h,link:definitionLink ,[D835110h] 주석 - 법인세 - 연결 | Notes - Income taxes - Consolidated financial statements,dart_all_2024-06-30.xsd,
527,ias_12_role-D835115d,http://dart.fss.or.kr/role/ifrs/ias_12_role-D835115d,link:definitionLink ,[D835115d] 주석 - 법인세 - 별도 | Notes - Income taxes - Separate financial statements,dart_all_2024-06-30.xsd,
528,ias_12_role-D835115e,http://dart.fss.or.kr/role/ifrs/ias_12_role-D835115e,link:definitionLink ,[D835115e] 주석 - 법인세 - 별도 | Notes - Income taxes - Separate financial statements,dart_all_2024-06-30.xsd,
529,ias_12_role-D835115f,http://dart.fss.or.kr/role/ifrs/ias_12_role-D835115f,link:definitionLink ,[D835115f] 주석 - 법인세 - 별도 | Notes - Income taxes - Separate financial statements,dart_all_2024-06-30.xsd,
530,ias_12_role-D835115g,http://dart.fss.or.kr/role/ifrs/ias_12_role-D835115g,link:definitionLink ,[D835115g] 주석 - 법인세 - 별도 | Notes - Income taxes - Separate financial statements,dart_all_2024-06-30.xsd,
531,ias_12_role-D835115h,http://dart.fss.or.kr/role/ifrs/ias_12_role-D835115h,link:definitionLink ,[D835115h] 주석 - 법인세 - 별도 | Notes - Income taxes - Separate financial statements,dart_all_2024-06-30.xsd,
532,ias_33_role-D838000a,http://dart.fss.or.kr/role/ifrs/ias_33_role-D838000a,link:definitionLink ,[D838000a] 주석 - 주당이익 - 연결 | Notes - Earnings per share - Consolidated financial statements,dart_all_2024-06-30.xsd,
533,ias_33_role-D838005a,http://dart.fss.or.kr/role/ifrs/ias_33_role-D838005a,link:definitionLink ,[D838005a] 주석 - 주당이익 - 별도 | Notes - Earnings per share - Separate financial statements,dart_all_2024-06-30.xsd,
534,ias_7_role-D851100b,http://dart.fss.or.kr/role/ifrs/ias_7_role-D851100b,link:definitionLink ,[D851100b] 주석 - 현금흐름표 - 연결 | Notes - Cash flow statement - Consolidated financial statements,dart_all_2024-06-30.xsd,
535,ias_7_role-D851100c,http://dart.fss.or.kr/role/ifrs/ias_7_role-D851100c,link:definitionLink ,[D851100c] 주석 - 현금흐름표 - 연결 | Notes - Cash flow statement - Consolidated financial statements,dart_all_2024-06-30.xsd,
536,ias_7_role-D851100d,http://dart.fss.or.kr/role/ifrs/ias_7_role-D851100d,link:definitionLink ,[D851100d] 주석 - 현금흐름표 - 연결 | Notes - Cash flow statement - Consolidated financial statements,dart_all_2024-06-30.xsd,
537,ias_7_role-D851105b,http://dart.fss.or.kr/role/ifrs/ias_7_role-D851105b,link:definitionLink ,[D851105b] 주석 - 현금흐름표 - 별도 | Notes - Cash flow statement - Separate financial statements,dart_all_2024-06-30.xsd,
538,ias_7_role-D851105c,http://dart.fss.or.kr/role/ifrs/ias_7_role-D851105c,link:definitionLink ,[D851105c] 주석 - 현금흐름표 - 별도 | Notes - Cash flow statement - Separate financial statements,dart_all_2024-06-30.xsd,
539,ias_7_role-D851105d,http://dart.fss.or.kr/role/ifrs/ias_7_role-D851105d,link:definitionLink ,[D851105d] 주석 - 현금흐름표 - 별도 | Notes - Cash flow statement - Separate financial statements,dart_all_2024-06-30.xsd,
540,ifrs_7_role-D822390zh,http://dart.fss.or.kr/role/ifrs/ifrs_7_role-D822390zh,link:definitionLink ,[D822390zh] 주석 - 금융상품 - 연결 | Notes - Financial instruments - Consolidated financial statements,dart_all_2024-06-30.xsd,
541,ifrs_7_role-D822390zi,http://dart.fss.or.kr/role/ifrs/ifrs_7_role-D822390zi,link:definitionLink ,[D822390zi] 주석 - 금융상품 - 연결 | Notes - Financial instruments - Consolidated financial statements,dart_all_2024-06-30.xsd,
542,ifrs_7_role-D822390zj,http://dart.fss.or.kr/role/ifrs/ifrs_7_role-D822390zj,link:definitionLink ,[D822390zj] 주석 - 금융상품 - 연결 | Notes - Financial instruments - Consolidated financial statements,dart_all_2024-06-30.xsd,
543,ifrs_7_role-D822395zh,http://dart.fss.or.kr/role/ifrs/ifrs_7_role-D822395zh,link:definitionLink ,[D822395zh] 주석 - 금융상품 - 별도 | Notes - Financial instruments - Separate financial statements,dart_all_2024-06-30.xsd,
544,ifrs_7_role-D822395zi,http://dart.fss.or.kr/role/ifrs/ifrs_7_role-D822395zi,link:definitionLink ,[D822395zi] 주석 - 금융상품 - 별도 | Notes - Financial instruments - Separate financial statements,dart_all_2024-06-30.xsd,
545,ifrs_7_role-D822395zj,http://dart.fss.or.kr/role/ifrs/ifrs_7_role-D822395zj,link:definitionLink ,[D822395zj] 주석 - 금융상품 - 별도 | Notes - Financial instruments - Separate financial statements,dart_all_2024-06-30.xsd,
546,ifrs_17_role-D836600p,http://dart.fss.or.kr/role/ifrs/ifrs_17_role-D836600p,link:definitionLink ,[D836600p] 주석 - 보험계약 (IFRS 17) - 연결 | Notes - Insurance contracts (IFRS 17) - Consolidated financial statements,dart_all_2024-06-30.xsd,
547,ifrs_17_role-D836605p,http://dart.fss.or.kr/role/ifrs/ifrs_17_role-D836605p,link:definitionLink ,[D836605p] 주석 - 보험계약 (IFRS 17) - 별도 | Notes - Insurance contracts (IFRS 17) - Separate financial statements,dart_all_2024-06-30.xsd,
548,ias_1_role-D800200a,http://dart.fss.or.kr/role/ifrs/ias_1_role-D800200a,link:definitionLink ,[D800200a] 주석 - 수익과 비용 분석 - 연결 | Notes - Analysis of income and expense - Consolidated financial statements,dart_all_2024-06-30.xsd,
549,ias_1_role-D800205a,http://dart.fss.or.kr/role/ifrs/ias_1_role-D800205a,link:definitionLink ,[D800205a] 주석 - 수익과 비용 분석 - 연결 | Notes - Analysis of income and expense - Consolidated financial statements,dart_all_2024-06-30.xsd,
550,ias_33_role-D838000b,http://dart.fss.or.kr/role/ifrs/ias_33_role-D838000b,link:definitionLink ,[D838000b] 주석 - 주당이익 - 연결 | Notes - Earnings per share - Consolidated financial statements,dart_all_2024-06-30.xsd,
551,ias_33_role-D838005b,http://dart.fss.or.kr/role/ifrs/ias_33_role-D838005b,link:definitionLink ,[D838005b] 주석 - 주당이익 - 별도 | Notes - Earnings per share - Separate financial statements,dart_all_2024-06-30.xsd,
552,dart_2024-06-30_role-DB801000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB801000,link:presentationLink link:definitionLink ,"[DB801000] 주석 - 회사의 개요, 은행 - 연결 | Notes - Corporate information, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
553,dart_2024-06-30_role-DB802000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB802000,link:presentationLink link:definitionLink ,"[DB802000] 주석 - 재무제표 작성기준 및 중요한 회계정책, 은행 - 연결 | Notes - Basis of preparation of financial statements and accounting policies, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
554,dart_2024-06-30_role-DB803000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB803000,link:presentationLink link:definitionLink ,"[DB803000] 주석 - 중요한 판단과 추정불확실성의 주요 원천, 은행 - 연결 | Notes - Significant judgements and sources of estimation uncertainty , Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
555,dart_2024-06-30_role-DB804000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB804000,link:presentationLink link:definitionLink ,"[DB804000] 주석 - 부문정보, 은행 - 연결 | Notes - Operating segments, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
556,dart_2024-06-30_role-DB805000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB805000,link:presentationLink link:definitionLink ,"[DB805000] 주석 - 사용제한 금융자산, 은행 - 연결 | Notes - Restricted financial assets, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
557,dart_2024-06-30_role-DB806000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB806000,link:presentationLink link:definitionLink ,"[DB806000] 주석 - 담보제공자산, 은행 - 연결 | Notes - Assets pledged as collateral, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
558,dart_2024-06-30_role-DB807000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB807000,link:presentationLink link:definitionLink ,"[DB807000] 주석 - 당기손익-공정가치측정금융자산, 은행 - 연결 | Notes - Financial assets at fair value through profit or loss, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
559,dart_2024-06-30_role-DB814300,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB814300,link:presentationLink link:definitionLink ,"[DB814300] 주석 - 리스/금융리스채권, 은행 - 연결 | Notes - Finance lease receivables, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
560,dart_2024-06-30_role-DB810000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB810000,link:presentationLink link:definitionLink ,"[DB810000] 주석 - 기타자산, 은행 - 연결 | Notes - Other assets, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
561,dart_2024-06-30_role-DB811000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB811000,link:presentationLink link:definitionLink ,"[DB811000] 주석 - 종속기업, 공동기업과 관계기업에 대한 투자자산, 은행 - 연결 | Notes - Interests in subsidiaries, joint ventures and associates, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
562,dart_2024-06-30_role-DB812000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB812000,link:presentationLink link:definitionLink ,"[DB812000] 주석 - 유형자산, 은행 - 연결 | Notes - Property, plant and equipment, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
563,dart_2024-06-30_role-DB813000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB813000,link:presentationLink link:definitionLink ,"[DB813000] 주석 - 투자부동산, 은행 - 연결 | Notes - Investment property, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
564,dart_2024-06-30_role-DB814200,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB814200,link:presentationLink link:definitionLink ,"[DB814200] 주석 - 리스/리스부채, 은행 - 연결 | Notes - Lease liabilites, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
565,dart_2024-06-30_role-DB815000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB815000,link:presentationLink link:definitionLink ,"[DB815000] 주석 - 무형자산, 은행 - 연결 | Notes - Intangible assets, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
566,dart_2024-06-30_role-DB816000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB816000,link:presentationLink link:definitionLink ,"[DB816000] 주석 - 당기손익-공정가치측정금융부채, 은행 - 연결 | Notes - Financial liabilities at fair value through profit or loss, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
567,dart_2024-06-30_role-DB817000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB817000,link:presentationLink link:definitionLink ,"[DB817000] 주석 - 차입부채, 은행 - 연결 | Notes - Borrowings, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
568,dart_2024-06-30_role-DB818000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB818000,link:presentationLink link:definitionLink ,"[DB818000] 주석 - 기타금융부채, 은행 - 연결 | Notes - Other financial liabilities, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
569,dart_2024-06-30_role-DB819000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DB819000,link:presentationLink link:definitionLink ,"[DB819000] 주석 - 파생상품, 은행 - 연결 | Notes - Derivatives, Deposit Based - Consolidated",dart_all_2024-06-30.xsd,
